Time,Value
0,0
0.01,0.309017
0.02,0.587785
0.03,0.809017
0.04,0.951056
0.05,1
0.06,0.951057
0.07,0.809017
0.08,0.587785
0.09,0.309017
0.1,4.2132e-07
0.11,-0.309017
0.12,-0.587785
0.13,-0.809017
0.14,-0.951056
0.15,-1
0.16,-0.951057
0.17,-0.809017
0.18,-0.587785
0.19,-0.309017
0.2,5.61761e-07
0.21,0.309018
0.22,0.587786
0.23,0.809018
0.24,0.951057
0.25,1
0.26,0.951056
0.27,0.809017
0.28,0.587785
0.29,0.309017
0.3,5.61761e-07
0.31,-0.309016
0.32,-0.587784
0.33,-0.809016
0.34,-0.951056
0.35,-1
0.36,-0.951057
0.37,-0.809019
0.38,-0.587788
0.39,-0.30902
0.4,-3.55782e-06
0.41,0.309013
0.42,0.587782
0.43,0.809014
0.44,0.951055
0.45,1
0.46,0.951058
0.47,0.80902
0.48,0.58779
0.49,0.309023
0.5,6.55387e-06
0.51,-0.309011
0.52,-0.58778
0.53,-0.809013
0.54,-0.951054
0.55,-1
0.56,-0.951059
0.57,-0.809022
0.58,-0.587792
0.59,-0.309025
0.6,-8.61366e-06
0.61,0.309009
0.62,0.587778
0.63,0.809011
0.64,0.951054
0.65,1
0.66,0.95106
0.67,0.809023
0.68,0.587794
0.69,0.309028
0.7,1.16097e-05
0.71,-0.309006
0.72,-0.587775
0.73,-0.80901
0.74,-0.951053
0.75,-1
0.76,-0.951061
0.77,-0.809025
0.78,-0.587797
0.79,-0.309031
0.8,-1.46058e-05
0.81,0.309003
0.82,0.587773
0.83,0.809008
0.839999,0.951052
0.849999,1
0.859999,0.951062
0.869999,0.809027
0.879999,0.587799
0.889999,0.309033
0.899999,1.76018e-05
0.909999,-0.309
0.919999,-0.587771
0.929999,-0.809006
0.939999,-0.951051
0.949999,-1
0.959999,-0.951063
0.969999,-0.809029
0.979999,-0.587801
0.989999,-0.309036
0.999999,-2.05979e-05
